id,intent,difficulty,language,question,retrieved_context_count,bean_count,news_count,elapsed_s,context_precision,context_recall,faithfulness,answer_relevancy,response,reference,error
PS_001,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa với hương vị cam được không?,5,5,2,17.2,0.0,0.0,0.5555555555555556,0.7136546828125501,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê Ethiopia Guji Odo Shakisso G1 - (Filter) từ HIS BREW ROASTERY. Cà phê này có hương vị cam cùng với các nốt hương khác như đào, nho và dâu tây, rất phù hợp với yêu cầu của bạn."", ""products"": [{""name"": ""Ethiopia Guji Odo Shakisso G1 - (Filter)"", ""roaster"": ""HIS BREW ROASTERY"", ""reason"": ""Cà phê này có hương vị cam rõ rệt, cùng với các nốt hương trái cây khác, rất phù hợp với sở thích của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/ethiopia-guji-odo-shakisso-g1-filter/""}], ""articles"": []}","Bạn có thể thử loại cà phê Ethiopia Sidamo từ MCLAUGHLIN COFFEE COMPANY. Loại cà phê này được rang vừa và có hương vị của cam ngọt, bên cạnh các hương vị khác như Marionberry, Chocolate Nougat và Vanilla Maple Syrup. Cà phê được sản xuất từ vùng Sidamo, Ethiopia, với quy trình tự nhiên, mang lại cảm giác ngọt ngào và cơ thể siro.",
PS_002,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Brazil, rang vừa đến đậm, có hương vị đường nâu không?",5,5,2,11.3,0.49999999995,0.75,0.8,0.7669988838866856,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê \""Brazil - Cerrado Mineiro - Med-Dark\"" từ STEREOSCOPE COFFEE. Đây là loại cà phê rang vừa đến đậm với hương vị đường nâu, sô cô la và nhục đậu khấu, được chế biến bằng phương pháp pulped-natural."", ""products"": [{""name"": ""Brazil - Cerrado Mineiro - Med-Dark"", ""roaster"": ""STEREOSCOPE COFFEE"", ""reason"": ""Có hương vị đường nâu, sô cô la và nhục đậu khấu, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/brazil-cerrado-mineiro-med-dark/""}], ""articles"": []}","Một loại cà phê từ Brazil mà bạn có thể tham khảo là Forest Blend từ Perky Blenders Coffee Roasters. Đây là loại cà phê rang vừa đến đậm, có hương vị đường nâu, sô cô la đen, và trái cherry. Cà phê được lấy từ vùng Sul de Minas và được chế biến theo phương pháp tự nhiên. Hạt cà phê này được sản xuất từ các trang trại nhỏ, đảm bảo chất lượng cao.",
PS_003,product_search,easy,en,Can you help me find a medium-dark roast coffee from Ethiopia with peach flavor notes?,5,5,2,13.6,0.3333333333,1.0,0.6666666666666666,0.6754188786007672,"{""summary"": ""The Mewa Yusef Ethiopia Espresso from GLYPH SUPPLY CO is a medium-dark roast coffee from Ethiopia that features peach flavor notes. It is a natural-processed coffee from Nensebo, Ethiopia, and is available for purchase."", ""products"": [{""name"": ""Mewa Yusef Ethiopia Espresso"", ""roaster"": ""GLYPH SUPPLY CO"", ""reason"": ""This coffee is a medium-dark roast from Ethiopia with distinct peach flavor notes, matching your request perfectly."", ""url"": ""https://www.thewaytocoffee.com/beans/mewa-yusef-ethiopia-espresso/""}], ""articles"": []}","The medium-dark roast coffee from Ethiopia that features peach flavor notes is the Danche Espresso / Ethiopia by FUGLEN JAPAN. It is sourced from the Danche Washing Station in Gedeb, Gedeo, and is produced by 763 smallholder farmers. This coffee offers flavor notes of grape and peach, and it is processed as washed.",
PS_004,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê đến từ Colombia, rang nhẹ với hương vị cam được không?",5,5,2,10.6,0.0,0.0,0.75,0.7533219138748407,"{""summary"": ""Tôi xin giới thiệu loại cà phê \""Colombia Reserve Del Patron\"" đến từ Nariño, Colombia. Cà phê này được rang nhẹ và có hương vị cam đặc trưng, rất phù hợp với yêu cầu của bạn."", ""products"": [{""name"": ""Colombia Reserve Del Patron"", ""roaster"": ""ELEVATOR COFFEE"", ""reason"": ""Cà phê này có hương vị cam nổi bật và được rang nhẹ."", ""url"": ""https://www.thewaytocoffee.com/beans/colombia-reserve-del-patron/""}], ""articles"": []}","Một loại cà phê đến từ Colombia mà bạn có thể thử là Colombia Caldas Mandarin Washed của JWC ROASTERY. Cà phê này được rang nhẹ và có hương vị của vỏ cam và táo custard. Đây là loại cà phê đơn nguyên từ Caldas, được xử lý theo phương pháp 'Mandarin Washed', mang lại hương vị tươi sáng và chua nhẹ.",
PS_005,product_search,easy,vi,"Bạn có thể gợi ý cho tôi loại cà phê từ Mexico, rang vừa-nhẹ, với hương vị caramel hóa không?",5,5,2,11.1,0.0,0.3333333333333333,1.0,0.7263861663414449,"{""summary"": ""Tôi gợi ý bạn thử loại cà phê \""San Lucas\"" từ KAFFEEMACHER. Đây là loại cà phê rang vừa-nhẹ với hương vị caramel hóa và táo nướng, rất phù hợp với yêu cầu của bạn."", ""products"": [{""name"": ""San Lucas"", ""roaster"": ""KAFFEEMACHER"", ""reason"": ""Cà phê này có hương vị caramel hóa và được rang vừa-nhẹ, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/san-lucas/""}], ""articles"": []}","Tôi gợi ý bạn loại cà phê ""Organic Mexico"" của CARRABASSETT COFFEE COMPANY. Đây là loại cà phê từ Mexico, được rang vừa với hương vị caramel hóa. Nó có độ axit hạn chế, cơ thể tốt và hương vị nhẹ nhàng, với những nốt hương sô cô la sữa và táo đỏ.",
PS_006,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Honduras, rang nhẹ, với hương vị trà đen không?",5,5,2,14.1,0.9999999999,1.0,1.0,0.7057851158196874,"{""summary"": ""Tôi xin giới thiệu loại cà phê \""Honduras Belarmino Contreras\"" từ KURASU. Đây là một loại cà phê rang nhẹ, có hương vị trà đen cùng với các hương vị khác như hoa, quả lê và cam máu."", ""products"": [{""name"": ""Honduras Belarmino Contreras [Light roast]"", ""roaster"": ""KURASU"", ""reason"": ""Cà phê này có hương vị trà đen, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/honduras-belarmino-contreras-light-roast/""}], ""articles"": []}","Bạn có thể thử cà phê Honduras Belarmino Contreras do KURASU sản xuất. Đây là loại cà phê rang nhẹ với hương vị đặc trưng của trà đen, cùng với các nốt hương hoa, lê, cam máu và loquat. Cà phê được trồng ở vùng Santa Barbara tại độ cao 1.500 mét và thuộc giống Pacas, được xử lý hoàn toàn bằng phương pháp rửa.",
PS_007,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa-nhẹ với hương vị mận được không?,5,5,2,13.0,0.249999999975,1.0,1.0,0.7195047349857169,"{""summary"": ""Tôi xin giới thiệu loại cà phê Ethiopia – Shantawene Sidama – Filter Coffee từ STOCKHOLM COFFEE ROASTERS. Đây là loại cà phê rang vừa-nhẹ với hương vị mận, cùng với các hương vị khác như hoa nhài, quả mâm xôi và gia vị. Cà phê này được chế biến theo phương pháp tự nhiên và có nguồn gốc từ vùng Sidama, Ethiopia."", ""products"": [{""name"": ""Ethiopia – Shantawene Sidama – Filter Coffee"", ""roaster"": ""STOCKHOLM COFFEE ROASTERS"", ""reason"": ""Cà phê này có hương vị mận rõ rệt và được rang vừa-nhẹ, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/ethiopia-shantawene-sidama-filter-coffee/""}], ""articles"": []}","Bạn có thể tham khảo loại cà phê Ethiopia Rumudamo Washed do DROPSHOT COFFEE ROASTERS sản xuất. Đây là loại cà phê rang vừa-nhẹ có hương vị mận, được chế biến theo phương pháp rửa và có nguồn gốc từ trạm rửa Rumudamo ở Sidama, Ethiopia. Cà phê này được trồng bởi những nông dân nhỏ lẻ ở độ cao từ 1.800 đến 2.000 mét.",
PS_008,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Guatemala, rang vừa, có hương vị chanh và trái cây không?",5,5,2,13.6,0.0,0.0,0.5,0.6708205577349459,"{""summary"": ""Tôi xin giới thiệu loại cà phê Guatemala Quetzal từ REPETITION COFFEE. Đây là loại cà phê rang vừa, có hương vị chanh, đường nâu và trái cây caramel hóa, rất phù hợp với yêu cầu của bạn."", ""products"": [{""name"": ""Guatemala Quetzal"", ""roaster"": ""REPETITION COFFEE"", ""reason"": ""Cà phê này có hương vị chanh và trái cây, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/guatemala-quetzal-j9p/""}], ""articles"": []}","Bạn có thể thử loại cà phê ""Guatemala Isabel Ramirez"" từ FULCRUM COFFEE. Cà phê này có hương vị chanh và anh đào, với một cơ thể nước ép và độ ngọt, kết thúc bằng một hương vị kem. Đây là một lựa chọn phù hợp với yêu cầu của bạn về cà phê Guatemala rang vừa có hương vị trái cây.",
PS_009,product_search,easy,en,Do you have any light roast coffee from Kenya with flavor notes of brown sugar?,5,5,5,14.2,0.499999999975,0.6666666666666666,0.3333333333333333,0.7957376717530412,"{""summary"": ""Yes, the Kenya Kathendu Washed from Bird and Bear Coffee features flavor notes of brown sugar along with blackberry, clove, cherry, and blueberry. It is a light roast coffee sourced from Meru County, Kenya, and is processed using the washed method."", ""products"": [{""name"": ""Kenya Kathendu Washed"", ""roaster"": ""BIRD AND BEAR COFFEE"", ""reason"": ""This light roast coffee has flavor notes of brown sugar, making it a suitable option for your request."", ""url"": ""https://www.thewaytocoffee.com/beans/kenya-kathendu-washed/""}], ""articles"": []}","Yes, the Kenya Kamoini by INHERITANCE COFFEE ROASTERS is a light roast coffee from Kenya that features flavor notes of brown sugar, along with citrus fruits and clove. It is sourced from the Nyeri region and processed as a washed coffee. Additionally, Gura AA by HAELLA KAFFEROSTERI is another light roast that also includes brown sugar in its flavor profile, alongside pineapple and blackberry.",
PS_010,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Indonesia, rang vừa tối với hương vị sô cô la được không?",5,5,2,11.0,0.0,0.0,0.8,0.6991753935983321,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê \""Indonesia - Sumatra Mandheling G1 Organic\"" từ roaster BEAN BROTHERS. Đây là một loại cà phê rang vừa tối với hương vị chủ đạo là sô cô la, cùng với các ghi chú gia vị và gỗ tuyết tùng."", ""products"": [{""name"": ""Indonesia - Sumatra Mandheling G1 Organic"", ""roaster"": ""BEAN BROTHERS"", ""reason"": ""Có hương vị chủ đạo là sô cô la, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/indonesia-sumatra-mandheling-g1-organic/""}], ""articles"": []}","Một loại cà phê từ Indonesia mà bạn có thể thử là Indonesia Aceh - Sumatra Gayo từ JAHO COFFEE ROASTERS. Đây là loại cà phê rang vừa tối với hương vị sô cô la đậm, cùng với các nốt hương của việt quất, sinh tố chuối và trái cây nhiệt đới. Cà phê này được trồng ở vùng Aceh, Indonesia, với quy trình chế biến tự nhiên và độ cao trồng trọt cao, mang lại một trải nghiệm cà phê phong phú và mạnh mẽ.",
