id,intent,difficulty,language,question,retrieved_context_count,bean_count,news_count,elapsed_s,context_precision,context_recall,faithfulness,answer_relevancy,response,reference,error
PS_001,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa với hương vị cam được không?,5,5,2,11.7,0.0,0.0,0.6666666666666666,0.8875349997570953,"{""summary"": ""Tôi xin giới thiệu loại cà phê Ethiopia | Tayebo Aba Bulgu 2023 từ ROWAN COFFEE. Đây là loại cà phê rang vừa với hương vị nổi bật của cam, cùng với các hương vị khác như hoa hồng và chanh kẹo. Cà phê này được chế biến theo phương pháp washed và có nguồn gốc từ Agaro, Ethiopia."", ""products"": [{""name"": ""Ethiopia | Tayebo Aba Bulgu 2023"", ""roaster"": ""ROWAN COFFEE"", ""reason"": ""Cà phê này có hương vị cam nổi bật, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/ethiopia-tayebo-aba-bulgu-2023/""}], ""articles"": []}","Bạn có thể thử loại cà phê Ethiopia Sidamo từ MCLAUGHLIN COFFEE COMPANY. Loại cà phê này được rang vừa và có hương vị của cam ngọt, bên cạnh các hương vị khác như Marionberry, Chocolate Nougat và Vanilla Maple Syrup. Cà phê được sản xuất từ vùng Sidamo, Ethiopia, với quy trình tự nhiên, mang lại cảm giác ngọt ngào và cơ thể siro.",
PS_002,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Brazil, rang vừa đến đậm, có hương vị đường nâu không?",5,5,2,13.0,0.0,0.0,0.5714285714285714,0.7235320471877795,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê Brygg 1 kg | BRASILIEN từ Gashaga Kafferosteri. Đây là loại cà phê rang vừa đến đậm với hương vị đường nâu, cùng với các nốt hương của nho khô và gia vị."", ""products"": [{""name"": ""Brygg 1 kg | BRASILIEN"", ""roaster"": ""GASHAGA KAFFEROSTERI"", ""reason"": ""Cà phê này có hương vị đường nâu và được rang ở mức vừa đến đậm."", ""url"": ""https://www.thewaytocoffee.com/beans/brew-1-kg-brazil/""}], ""articles"": []}","Một loại cà phê từ Brazil mà bạn có thể tham khảo là Forest Blend từ Perky Blenders Coffee Roasters. Đây là loại cà phê rang vừa đến đậm, có hương vị đường nâu, sô cô la đen, và trái cherry. Cà phê được lấy từ vùng Sul de Minas và được chế biến theo phương pháp tự nhiên. Hạt cà phê này được sản xuất từ các trang trại nhỏ, đảm bảo chất lượng cao.",
PS_003,product_search,easy,en,Can you help me find a medium-dark roast coffee from Ethiopia with peach flavor notes?,5,5,2,9.9,0.0,0.0,1.0,0.9545315254110115,"{""summary"": ""There is no medium-dark roast coffee from Ethiopia specifically noted for peach flavor in the provided context. However, the coffee named Fjällkaffe features a medium-dark roast and includes Ethiopian beans, with flavor notes of chocolate and dried berry, but does not mention peach."", ""products"": [], ""articles"": []}","The medium-dark roast coffee from Ethiopia that features peach flavor notes is the Danche Espresso / Ethiopia by FUGLEN JAPAN. It is sourced from the Danche Washing Station in Gedeb, Gedeo, and is produced by 763 smallholder farmers. This coffee offers flavor notes of grape and peach, and it is processed as washed.",
PS_004,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê đến từ Colombia, rang nhẹ với hương vị cam được không?",5,5,2,9.9,0.9999999999,0.0,1.0,0.0,"{""summary"": ""Tôi giới thiệu đến bạn loại cà phê \""Colombia Naranjo\"" đến từ Huila, Colombia. Cà phê này có hương vị cam đặc trưng và được chế biến qua quy trình lên men thử nghiệm. Tuy nhiên, thông tin về mức độ rang của sản phẩm này không được cung cấp."", ""products"": [{""name"": ""Colombia Naranjo"", ""roaster"": ""GOLD BOX ROASTERY"", ""reason"": ""Cà phê này có hương vị cam đặc trưng, phù hợp với yêu cầu của bạn về cà phê đến từ Colombia với hương vị cam."", ""url"": ""https://www.thewaytocoffee.com/beans/colombia-naranjo/""}], ""articles"": []}","Một loại cà phê đến từ Colombia mà bạn có thể thử là Colombia Caldas Mandarin Washed của JWC ROASTERY. Cà phê này được rang nhẹ và có hương vị của vỏ cam và táo custard. Đây là loại cà phê đơn nguyên từ Caldas, được xử lý theo phương pháp 'Mandarin Washed', mang lại hương vị tươi sáng và chua nhẹ.",
PS_005,product_search,easy,vi,"Bạn có thể gợi ý cho tôi loại cà phê từ Mexico, rang vừa-nhẹ, với hương vị caramel hóa không?",5,5,2,16.4,0.0,0.0,0.75,0.9277587664850132,"{""summary"": ""Hiện tại, không có loại cà phê nào từ Mexico trong danh sách mà có hương vị caramel hóa. Tuy nhiên, bạn có thể tham khảo các loại cà phê khác từ Mexico như Mexico Veracruz Altura và Mexico | Luis Ordoñez 2023, mặc dù chúng không có hương vị caramel hóa mà có các hương vị khác như molasses, almond, và golden raisin."", ""products"": [{""name"": ""Mexico Veracruz Altura"", ""roaster"": ""MOTHERSHIP COFFEE ROASTERS"", ""reason"": ""Có hương vị molasses, almond, và fig, phù hợp với sở thích về hương vị ngọt ngào."", ""url"": ""https://www.thewaytocoffee.com/beans/mexico-veracruz-altura/""}, {""name"": ""Mexico | Luis Ordoñez 2023"", ""roaster"": ""ROWAN COFFEE"", ""reason"": ""Có hương vị ngọt ngào với golden raisin và clementine, có thể phù hợp với sở thích của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/mexico-luis-ordonez-2023/""}], ""articles"": []}","Tôi gợi ý bạn loại cà phê ""Organic Mexico"" của CARRABASSETT COFFEE COMPANY. Đây là loại cà phê từ Mexico, được rang vừa với hương vị caramel hóa. Nó có độ axit hạn chế, cơ thể tốt và hương vị nhẹ nhàng, với những nốt hương sô cô la sữa và táo đỏ.",
PS_006,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Honduras, rang nhẹ, với hương vị trà đen không?",5,5,2,12.3,0.0,0.0,0.8571428571428571,0.9479350766345203,"{""summary"": ""Không có loại cà phê nào từ Honduras được rang nhẹ và có hương vị trà đen. Tuy nhiên, bạn có thể tham khảo loại cà phê La Bendición. Café de Honduras, được rang vừa, có hương vị trà đen cùng với các nốt hương khác như dâu tây và cam."", ""products"": [{""name"": ""La Bendición. Café de Honduras."", ""roaster"": ""KIMA COFFEE"", ""reason"": ""Cà phê này có hương vị trà đen, mặc dù được rang vừa, nhưng vẫn có thể là lựa chọn thú vị cho bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/la-bendicion-cafe-de-honduras/""}], ""articles"": []}","Bạn có thể thử cà phê Honduras Belarmino Contreras do KURASU sản xuất. Đây là loại cà phê rang nhẹ với hương vị đặc trưng của trà đen, cùng với các nốt hương hoa, lê, cam máu và loquat. Cà phê được trồng ở vùng Santa Barbara tại độ cao 1.500 mét và thuộc giống Pacas, được xử lý hoàn toàn bằng phương pháp rửa.",
PS_007,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa-nhẹ với hương vị mận được không?,5,5,2,12.6,0.0,0.0,0.7142857142857143,0.7548260909535581,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê \""淺中焙｜衣索比亞 耶加雪菲 果丁丁 G1 日曬處理法\"" từ COZY HOUSE COFFEE. Đây là loại cà phê Ethiopia Yirgacheffe rang vừa-nhẹ với hương vị mận và được xử lý theo phương pháp tự nhiên, có điểm số 94 từ Coffee Review."", ""products"": [{""name"": ""淺中焙｜衣索比亞 耶加雪菲 果丁丁 G1 日曬處理法 咖啡豆"", ""roaster"": ""COZY HOUSE COFFEE"", ""reason"": ""Cà phê này có hương vị mận và được rang vừa-nhẹ, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/ethiopia-yirgacheffe-gutiti-g1-natural-coffee/""}], ""articles"": []}","Bạn có thể tham khảo loại cà phê Ethiopia Rumudamo Washed do DROPSHOT COFFEE ROASTERS sản xuất. Đây là loại cà phê rang vừa-nhẹ có hương vị mận, được chế biến theo phương pháp rửa và có nguồn gốc từ trạm rửa Rumudamo ở Sidama, Ethiopia. Cà phê này được trồng bởi những nông dân nhỏ lẻ ở độ cao từ 1.800 đến 2.000 mét.",
PS_008,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Guatemala, rang vừa, có hương vị chanh và trái cây không?",5,5,2,14.5,0.0,0.0,0.5,0.5911747282100553,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê \""Guatemala Quetzal\"" từ roaster Repetition Coffee. Đây là loại cà phê rang vừa, có hương vị chanh, đường nâu và trái cây nướng, phù hợp với yêu cầu của bạn."", ""products"": [{""name"": ""Guatemala Quetzal"", ""roaster"": ""REPETITION COFFEE"", ""reason"": ""Có hương vị chanh và trái cây, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/guatemala-quetzal-j9p/""}], ""articles"": []}","Bạn có thể thử loại cà phê ""Guatemala Isabel Ramirez"" từ FULCRUM COFFEE. Cà phê này có hương vị chanh và anh đào, với một cơ thể nước ép và độ ngọt, kết thúc bằng một hương vị kem. Đây là một lựa chọn phù hợp với yêu cầu của bạn về cà phê Guatemala rang vừa có hương vị trái cây.",
PS_009,product_search,easy,en,Do you have any light roast coffee from Kenya with flavor notes of brown sugar?,5,5,5,10.4,0.249999999975,0.6666666666666666,0.75,0.9706011977332852,"{""summary"": ""There are no light roast coffees from Kenya specifically noted for having flavor notes of brown sugar. The Kenya Masai Light Roast features fruity notes like orange and blackberry, while the Kijani Koboko - Kenya, which has brown sugar in its flavor profile, does not specify a light roast."", ""products"": [], ""articles"": []}","Yes, the Kenya Kamoini by INHERITANCE COFFEE ROASTERS is a light roast coffee from Kenya that features flavor notes of brown sugar, along with citrus fruits and clove. It is sourced from the Nyeri region and processed as a washed coffee. Additionally, Gura AA by HAELLA KAFFEROSTERI is another light roast that also includes brown sugar in its flavor profile, alongside pineapple and blackberry.",
PS_010,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Indonesia, rang vừa tối với hương vị sô cô la được không?",5,5,2,11.1,0.0,0.3333333333333333,1.0,0.7283870491459075,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê \""수마트라 하리마우 호랑이\"" từ BIRCH COFFEE. Đây là một loại cà phê rang vừa với hương vị sô cô la đậm đà và có hương thơm của thuốc lá ống."", ""products"": [{""name"": ""수마트라 하리마우 호랑이"", ""roaster"": ""BIRCH COFFEE"", ""reason"": ""Cà phê này có hương vị sô cô la đậm và được rang vừa, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/sumatra-harimau-tiger/""}], ""articles"": []}","Một loại cà phê từ Indonesia mà bạn có thể thử là Indonesia Aceh - Sumatra Gayo từ JAHO COFFEE ROASTERS. Đây là loại cà phê rang vừa tối với hương vị sô cô la đậm, cùng với các nốt hương của việt quất, sinh tố chuối và trái cây nhiệt đới. Cà phê này được trồng ở vùng Aceh, Indonesia, với quy trình chế biến tự nhiên và độ cao trồng trọt cao, mang lại một trải nghiệm cà phê phong phú và mạnh mẽ.",
