id,intent,difficulty,language,question,retrieved_context_count,bean_count,news_count,elapsed_s,context_precision,context_recall,faithfulness,answer_relevancy,response,reference,error
PS_001,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa với hương vị cam được không?,5,5,2,13.8,0.9999999999,1.0,0.8,0.5784006519994923,"{""summary"": ""Tôi xin giới thiệu loại cà phê Ethiopia Sidamo từ MCLAUGHLIN COFFEE COMPANY. Đây là một loại cà phê rang vừa với hương vị cam ngọt ngào, kết hợp với các nốt hương marionberry, chocolate nougat và vanilla maple syrup."", ""products"": [{""name"": ""Ethiopia Sidamo"", ""roaster"": ""MCLAUGHLIN COFFEE COMPANY"", ""reason"": ""Có hương vị cam ngọt ngào, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/ethiopia-sidamo-14f/""}], ""articles"": []}","Bạn có thể thử loại cà phê Ethiopia Sidamo từ MCLAUGHLIN COFFEE COMPANY. Loại cà phê này được rang vừa và có hương vị của cam ngọt, bên cạnh các hương vị khác như Marionberry, Chocolate Nougat và Vanilla Maple Syrup. Cà phê được sản xuất từ vùng Sidamo, Ethiopia, với quy trình tự nhiên, mang lại cảm giác ngọt ngào và cơ thể siro.",
PS_002,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Brazil, rang vừa đến đậm, có hương vị đường nâu không?",5,5,2,14.0,0.9999999999,1.0,0.8,0.6262554139613097,"{""summary"": ""Tôi giới thiệu bạn cà phê \""Brazil - Cerrado Mineiro - Med-Dark\"" từ STEREOSCOPE COFFEE. Đây là loại cà phê rang vừa đến đậm với hương vị đường nâu, chocolate và hạt nhục đậu khấu, được chế biến theo phương pháp pulped-natural."", ""products"": [{""name"": ""Brazil - Cerrado Mineiro - Med-Dark"", ""roaster"": ""STEREOSCOPE COFFEE"", ""reason"": ""Cà phê này có hương vị đường nâu rõ rệt, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/brazil-cerrado-mineiro-med-dark/""}], ""articles"": []}","Một loại cà phê từ Brazil mà bạn có thể tham khảo là Forest Blend từ Perky Blenders Coffee Roasters. Đây là loại cà phê rang vừa đến đậm, có hương vị đường nâu, sô cô la đen, và trái cherry. Cà phê được lấy từ vùng Sul de Minas và được chế biến theo phương pháp tự nhiên. Hạt cà phê này được sản xuất từ các trang trại nhỏ, đảm bảo chất lượng cao.",
PS_003,product_search,easy,en,Can you help me find a medium-dark roast coffee from Ethiopia with peach flavor notes?,5,5,2,14.3,0.9999999999,1.0,0.6,0.5280384010716884,"{""summary"": ""I recommend the Danche Espresso from FUGLEN JAPAN and the Mewa Yusef Ethiopia Espresso from GLYPH SUPPLY CO, both of which are medium-dark roasts from Ethiopia featuring peach flavor notes."", ""products"": [{""name"": ""Danche Espresso / Ethiopia"", ""roaster"": ""FUGLEN JAPAN"", ""reason"": ""This coffee is a medium-dark roast from Ethiopia with tasting notes of grape and peach."", ""url"": ""https://www.thewaytocoffee.com/beans/danche-espresso-ethiopia/""}, {""name"": ""Mewa Yusef Ethiopia Espresso"", ""roaster"": ""GLYPH SUPPLY CO"", ""reason"": ""This is also a medium-dark roast from Ethiopia, with flavor notes of peach, orange, and red tea."", ""url"": ""https://www.thewaytocoffee.com/beans/mewa-yusef-ethiopia-espresso/""}], ""articles"": []}","The medium-dark roast coffee from Ethiopia that features peach flavor notes is the Danche Espresso / Ethiopia by FUGLEN JAPAN. It is sourced from the Danche Washing Station in Gedeb, Gedeo, and is produced by 763 smallholder farmers. This coffee offers flavor notes of grape and peach, and it is processed as washed.",
PS_004,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê đến từ Colombia, rang nhẹ với hương vị cam được không?",5,5,2,15.0,0.3333333333,1.0,0.8571428571428571,0.6440911050475356,"{""summary"": ""Tôi xin giới thiệu loại cà phê \""Colombia Caldas Mandarin Washed\"" đến từ JWC ROASTERY. Đây là một loại cà phê rang nhẹ với hương vị cam, bao gồm các nốt hương như vỏ cam và trái cây nhiệt đới, mang đến một tách cà phê sạch sẽ và thanh lịch."", ""products"": [{""name"": ""Colombia Caldas Mandarin Washed"", ""roaster"": ""JWC ROASTERY"", ""reason"": ""Cà phê này có hương vị cam rõ rệt với nốt vỏ cam và trái cây nhiệt đới, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/colombia-caldas-mandarin-washed/""}], ""articles"": []}","Một loại cà phê đến từ Colombia mà bạn có thể thử là Colombia Caldas Mandarin Washed của JWC ROASTERY. Cà phê này được rang nhẹ và có hương vị của vỏ cam và táo custard. Đây là loại cà phê đơn nguyên từ Caldas, được xử lý theo phương pháp 'Mandarin Washed', mang lại hương vị tươi sáng và chua nhẹ.",
PS_005,product_search,easy,vi,"Bạn có thể gợi ý cho tôi loại cà phê từ Mexico, rang vừa-nhẹ, với hương vị caramel hóa không?",5,5,2,14.6,0.0,0.3333333333333333,0.75,0.6508945547876599,"{""summary"": ""Tôi gợi ý bạn thử loại cà phê \""San Lucas\"" từ KAFFEEMACHER. Đây là loại cà phê rang vừa-nhẹ với hương vị caramel hóa và táo nướng, rất phù hợp với yêu cầu của bạn."", ""products"": [{""name"": ""San Lucas"", ""roaster"": ""KAFFEEMACHER"", ""reason"": ""Cà phê này có hương vị caramel hóa và được rang vừa-nhẹ, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/san-lucas/""}], ""articles"": []}","Tôi gợi ý bạn loại cà phê ""Organic Mexico"" của CARRABASSETT COFFEE COMPANY. Đây là loại cà phê từ Mexico, được rang vừa với hương vị caramel hóa. Nó có độ axit hạn chế, cơ thể tốt và hương vị nhẹ nhàng, với những nốt hương sô cô la sữa và táo đỏ.",
PS_006,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Honduras, rang nhẹ, với hương vị trà đen không?",5,5,2,17.5,0.9999999999,1.0,0.875,0.7125157415782105,"{""summary"": ""Tôi giới thiệu cho bạn cà phê Honduras Belarmino Contreras, được rang nhẹ và có hương vị trà đen. Đây là một loại cà phê đơn nguồn từ Santa Barbara, Honduras, với hương thơm hoa và các vị trái cây như cam máu, lê, và trà đen."", ""products"": [{""name"": ""Honduras Belarmino Contreras [Light roast]"", ""roaster"": ""KURASU"", ""reason"": ""Cà phê này được rang nhẹ và có hương vị trà đen, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/honduras-belarmino-contreras-light-roast/""}], ""articles"": []}","Bạn có thể thử cà phê Honduras Belarmino Contreras do KURASU sản xuất. Đây là loại cà phê rang nhẹ với hương vị đặc trưng của trà đen, cùng với các nốt hương hoa, lê, cam máu và loquat. Cà phê được trồng ở vùng Santa Barbara tại độ cao 1.500 mét và thuộc giống Pacas, được xử lý hoàn toàn bằng phương pháp rửa.",
PS_007,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa-nhẹ với hương vị mận được không?,5,5,2,14.9,0.9999999999,1.0,0.6,0.580482651539291,"{""summary"": ""Tôi xin giới thiệu loại cà phê Ethiopia Rumudamo Washed từ DROPSHOT COFFEE ROASTERS. Đây là loại cà phê rang vừa-nhẹ với hương vị mận đặc trưng, được chế biến theo phương pháp washed."", ""products"": [{""name"": ""Ethiopia Rumudamo Washed"", ""roaster"": ""DROPSHOT COFFEE ROASTERS"", ""reason"": ""Cà phê này có hương vị mận rõ rệt và được rang vừa-nhẹ, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/ethiopia-rumudamo-washed-1vk/""}], ""articles"": []}","Bạn có thể tham khảo loại cà phê Ethiopia Rumudamo Washed do DROPSHOT COFFEE ROASTERS sản xuất. Đây là loại cà phê rang vừa-nhẹ có hương vị mận, được chế biến theo phương pháp rửa và có nguồn gốc từ trạm rửa Rumudamo ở Sidama, Ethiopia. Cà phê này được trồng bởi những nông dân nhỏ lẻ ở độ cao từ 1.800 đến 2.000 mét.",
PS_008,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Guatemala, rang vừa, có hương vị chanh và trái cây không?",5,5,2,18.0,0.0,0.0,1.0,0.6499328198261808,"{""summary"": ""Tôi xin giới thiệu loại cà phê Guatemala Antigua Coffee từ roaster VOLCANICA COFFEE. Đây là loại cà phê rang vừa với hương vị chanh, trái cây và các nốt hương berry, green apple, jasmine. Cà phê này được chế biến theo phương pháp washed và có độ chua thấp, mang lại trải nghiệm phong phú và đầy đặn."", ""products"": [{""name"": ""Guatemala Antigua Coffee"", ""roaster"": ""VOLCANICA COFFEE"", ""reason"": ""Cà phê này có hương vị chanh và trái cây, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/guatemala-antigua-coffee/""}], ""articles"": []}","Bạn có thể thử loại cà phê ""Guatemala Isabel Ramirez"" từ FULCRUM COFFEE. Cà phê này có hương vị chanh và anh đào, với một cơ thể nước ép và độ ngọt, kết thúc bằng một hương vị kem. Đây là một lựa chọn phù hợp với yêu cầu của bạn về cà phê Guatemala rang vừa có hương vị trái cây.",
PS_009,product_search,easy,en,Do you have any light roast coffee from Kenya with flavor notes of brown sugar?,5,5,5,19.1,0.499999999975,1.0,1.0,0.6953611485971057,"{""summary"": ""Yes, the Gura AA, Kenya - Ljusrost from HAELLA KAFFEROSTERI features flavor notes of brown sugar, along with pineapple, blackberry, and mango. It is a light roast coffee sourced from Nyeri, Kenya, and is washed-processed."", ""products"": [{""name"": ""Gura AA, Kenya - Ljusrost"", ""roaster"": ""HAELLA KAFFEROSTERI"", ""reason"": ""This coffee has flavor notes of brown sugar, making it a suitable choice for your request."", ""url"": ""https://www.thewaytocoffee.com/beans/gura-aa-kenya-light-roast/""}], ""articles"": []}","Yes, the Kenya Kamoini by INHERITANCE COFFEE ROASTERS is a light roast coffee from Kenya that features flavor notes of brown sugar, along with citrus fruits and clove. It is sourced from the Nyeri region and processed as a washed coffee. Additionally, Gura AA by HAELLA KAFFEROSTERI is another light roast that also includes brown sugar in its flavor profile, alongside pineapple and blackberry.",
PS_010,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Indonesia, rang vừa tối với hương vị sô cô la được không?",5,5,2,16.7,0.9999999999,0.75,1.0,0.5872652681504567,"{""summary"": ""Tôi xin giới thiệu loại cà phê \""Indonesia Aceh - Sumatra Gayo\"" từ JAHO COFFEE ROASTERS. Đây là loại cà phê rang vừa tối, có hương vị sô cô la đen kết hợp với các nốt hương trái cây nhiệt đới như chuối và việt quất, mang đến trải nghiệm phong phú và đa dạng."", ""products"": [{""name"": ""Indonesia Aceh - Sumatra Gayo"", ""roaster"": ""JAHO COFFEE ROASTERS"", ""reason"": ""Cà phê này có hương vị sô cô la đen và được rang vừa tối, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/indonesia-aceh-sumatra-gayo/""}], ""articles"": []}","Một loại cà phê từ Indonesia mà bạn có thể thử là Indonesia Aceh - Sumatra Gayo từ JAHO COFFEE ROASTERS. Đây là loại cà phê rang vừa tối với hương vị sô cô la đậm, cùng với các nốt hương của việt quất, sinh tố chuối và trái cây nhiệt đới. Cà phê này được trồng ở vùng Aceh, Indonesia, với quy trình chế biến tự nhiên và độ cao trồng trọt cao, mang lại một trải nghiệm cà phê phong phú và mạnh mẽ.",
