id,intent,difficulty,language,question,retrieved_context_count,bean_count,news_count,elapsed_s,context_precision,context_recall,faithfulness,answer_relevancy,response,reference,error
PS_001,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa với hương vị cam được không?,5,5,2,9.6,0.49999999995,0.25,0.6666666666666666,0.0,"{""summary"": ""Tôi không tìm thấy loại cà phê Ethiopia rang vừa nào có hương vị cam trong thông tin đã cung cấp. Tuy nhiên, có một loại cà phê Ethiopia được rang với hương vị cam là Ethiopia từ COFFEENTALK, nhưng thông tin về mức độ rang không được cung cấp."", ""products"": [], ""articles"": []}","Bạn có thể thử loại cà phê Ethiopia Sidamo từ MCLAUGHLIN COFFEE COMPANY. Loại cà phê này được rang vừa và có hương vị của cam ngọt, bên cạnh các hương vị khác như Marionberry, Chocolate Nougat và Vanilla Maple Syrup. Cà phê được sản xuất từ vùng Sidamo, Ethiopia, với quy trình tự nhiên, mang lại cảm giác ngọt ngào và cơ thể siro.",
PS_002,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Brazil, rang vừa đến đậm, có hương vị đường nâu không?",5,5,2,13.7,0.0,0.0,0.6666666666666666,0.0,"{""summary"": ""Hiện tại, không có loại cà phê nào từ Brazil trong danh sách mà có hương vị đường nâu. Tuy nhiên, bạn có thể tham khảo các loại cà phê rang vừa đến đậm khác như Brazil Decaf hoặc The Brazilian, mặc dù chúng không có hương vị đường nâu cụ thể."", ""products"": [{""name"": ""Brazil Decaf"", ""roaster"": ""FABRICA"", ""reason"": ""Cà phê này có hương vị chocolate và creamy, phù hợp với sở thích về hương vị ngọt ngào."", ""url"": ""https://www.thewaytocoffee.com/beans/brazil-decaf/""}, {""name"": ""The Brazilian"", ""roaster"": ""DEPPE & CO"", ""reason"": ""Cà phê này có hương vị dark chocolate và almond, có thể mang lại cảm giác ngọt ngào tương tự như đường nâu."", ""url"": ""https://www.thewaytocoffee.com/beans/the-brazilian-113/""}], ""articles"": []}","Một loại cà phê từ Brazil mà bạn có thể tham khảo là Forest Blend từ Perky Blenders Coffee Roasters. Đây là loại cà phê rang vừa đến đậm, có hương vị đường nâu, sô cô la đen, và trái cherry. Cà phê được lấy từ vùng Sul de Minas và được chế biến theo phương pháp tự nhiên. Hạt cà phê này được sản xuất từ các trang trại nhỏ, đảm bảo chất lượng cao.",
PS_003,product_search,easy,en,Can you help me find a medium-dark roast coffee from Ethiopia with peach flavor notes?,5,5,2,10.6,0.0,0.0,1.0,0.9700279879258211,"{""summary"": ""There are no medium-dark roast coffees from Ethiopia with peach flavor notes available in the provided context. The closest options include light roast coffees with peach notes, such as the Ethiopia coffee from BOCCA COFFEE, but it does not specify a roast level."", ""products"": [], ""articles"": []}","The medium-dark roast coffee from Ethiopia that features peach flavor notes is the Danche Espresso / Ethiopia by FUGLEN JAPAN. It is sourced from the Danche Washing Station in Gedeb, Gedeo, and is produced by 763 smallholder farmers. This coffee offers flavor notes of grape and peach, and it is processed as washed.",
PS_004,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê đến từ Colombia, rang nhẹ với hương vị cam được không?",5,5,2,11.8,0.0,0.0,0.4,0.5803422324706294,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê \""Colombia Antioquia\"" từ WELLS COFFEE COMPANY. Đây là loại cà phê rang nhẹ với hương vị cam, cùng với các nốt hương khác như mơ, caramel và đường mía. Cà phê này được mô tả là cân bằng, mượt mà và ngọt ngào."", ""products"": [{""name"": ""Colombia Antioquia"", ""roaster"": ""WELLS COFFEE COMPANY"", ""reason"": ""Cà phê này có hương vị cam đặc trưng, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/colombia-antioquia-k52/""}], ""articles"": []}","Một loại cà phê đến từ Colombia mà bạn có thể thử là Colombia Caldas Mandarin Washed của JWC ROASTERY. Cà phê này được rang nhẹ và có hương vị của vỏ cam và táo custard. Đây là loại cà phê đơn nguyên từ Caldas, được xử lý theo phương pháp 'Mandarin Washed', mang lại hương vị tươi sáng và chua nhẹ.",
PS_005,product_search,easy,vi,"Bạn có thể gợi ý cho tôi loại cà phê từ Mexico, rang vừa-nhẹ, với hương vị caramel hóa không?",5,5,2,11.1,0.49999999995,0.6666666666666666,0.6666666666666666,0.62448155878298,"{""summary"": ""Tôi gợi ý bạn thử loại cà phê \""Organic Mexico\"" từ CARRABASSETT COFFEE COMPANY. Đây là loại cà phê rang vừa với hương vị caramel hóa, có độ axit nhẹ và cơ thể tốt."", ""products"": [{""name"": ""Organic Mexico"", ""roaster"": ""CARRABASSETT COFFEE COMPANY"", ""reason"": ""Cà phê này có hương vị caramel hóa, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/organic-mexico/""}], ""articles"": []}","Tôi gợi ý bạn loại cà phê ""Organic Mexico"" của CARRABASSETT COFFEE COMPANY. Đây là loại cà phê từ Mexico, được rang vừa với hương vị caramel hóa. Nó có độ axit hạn chế, cơ thể tốt và hương vị nhẹ nhàng, với những nốt hương sô cô la sữa và táo đỏ.",
PS_006,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Honduras, rang nhẹ, với hương vị trà đen không?",5,5,2,13.5,0.9999999999,1.0,1.0,0.5819873619196391,"{""summary"": ""Tôi xin giới thiệu loại cà phê \""Honduras Belarmino Contreras\"" từ roaster KURASU. Đây là loại cà phê rang nhẹ với hương vị trà đen cùng với các nốt hương hoa, cam máu và lê."", ""products"": [{""name"": ""Honduras Belarmino Contreras [Light roast]"", ""roaster"": ""KURASU"", ""reason"": ""Có hương vị trà đen và các nốt hương hoa, cam máu, lê."", ""url"": ""https://www.thewaytocoffee.com/beans/honduras-belarmino-contreras-light-roast/""}], ""articles"": []}","Bạn có thể thử cà phê Honduras Belarmino Contreras do KURASU sản xuất. Đây là loại cà phê rang nhẹ với hương vị đặc trưng của trà đen, cùng với các nốt hương hoa, lê, cam máu và loquat. Cà phê được trồng ở vùng Santa Barbara tại độ cao 1.500 mét và thuộc giống Pacas, được xử lý hoàn toàn bằng phương pháp rửa.",
PS_007,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa-nhẹ với hương vị mận được không?,5,5,2,11.3,0.0,0.0,1.0,0.0,"{""summary"": ""Hiện tại, trong danh sách cà phê không có loại nào được mô tả là rang vừa-nhẹ với hương vị mận. Tuy nhiên, bạn có thể tham khảo các loại cà phê Ethiopia khác như Ethiopia Sidamo từ MCLAUGHLIN COFFEE COMPANY với hương vị marionberry, sweet orange, chocolate nougat và vanilla maple syrup, hoặc Ethiopia Sidamo từ ORINOCO COFFEE & TEA với hương vị maple syrup, lemon và citrus fruit."", ""products"": [], ""articles"": []}","Bạn có thể tham khảo loại cà phê Ethiopia Rumudamo Washed do DROPSHOT COFFEE ROASTERS sản xuất. Đây là loại cà phê rang vừa-nhẹ có hương vị mận, được chế biến theo phương pháp rửa và có nguồn gốc từ trạm rửa Rumudamo ở Sidama, Ethiopia. Cà phê này được trồng bởi những nông dân nhỏ lẻ ở độ cao từ 1.800 đến 2.000 mét.",
PS_008,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Guatemala, rang vừa, có hương vị chanh và trái cây không?",5,5,2,12.6,0.0,0.0,0.6,0.6100510739261152,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê Guatemala Antigua Coffee từ roaster Volcanica Coffee. Đây là một loại cà phê rang vừa, có hương vị chanh, trái cây và các nốt berry, green apple, jasmine."", ""products"": [{""name"": ""Guatemala Antigua Coffee"", ""roaster"": ""VOLCANICA COFFEE"", ""reason"": ""Có hương vị chanh và trái cây, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/guatemala-antigua-coffee/""}], ""articles"": []}","Bạn có thể thử loại cà phê ""Guatemala Isabel Ramirez"" từ FULCRUM COFFEE. Cà phê này có hương vị chanh và anh đào, với một cơ thể nước ép và độ ngọt, kết thúc bằng một hương vị kem. Đây là một lựa chọn phù hợp với yêu cầu của bạn về cà phê Guatemala rang vừa có hương vị trái cây.",
PS_009,product_search,easy,en,Do you have any light roast coffee from Kenya with flavor notes of brown sugar?,5,5,5,10.8,0.0,0.0,1.0,0.9833557519296963,"{""summary"": ""There are no light roast coffees from Kenya listed that specifically feature flavor notes of brown sugar. The available options highlight various other flavor profiles such as orange, blackberry, and chocolate, but none include brown sugar."", ""products"": [], ""articles"": []}","Yes, the Kenya Kamoini by INHERITANCE COFFEE ROASTERS is a light roast coffee from Kenya that features flavor notes of brown sugar, along with citrus fruits and clove. It is sourced from the Nyeri region and processed as a washed coffee. Additionally, Gura AA by HAELLA KAFFEROSTERI is another light roast that also includes brown sugar in its flavor profile, alongside pineapple and blackberry.",
PS_010,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Indonesia, rang vừa tối với hương vị sô cô la được không?",5,5,2,12.7,0.0,0.0,0.6666666666666666,0.9543868490619651,"{""summary"": ""Hiện tại, trong danh sách cà phê từ Indonesia không có loại nào được rang vừa tối với hương vị sô cô la. Tuy nhiên, bạn có thể tham khảo loại Indonesia Java từ FULCRUM COFFEE, có hương vị chocolate và được rang nhẹ."", ""products"": [{""name"": ""Indonesia Java"", ""roaster"": ""FULCRUM COFFEE"", ""reason"": ""Mặc dù được rang nhẹ, nhưng loại cà phê này có hương vị chocolate, phù hợp với sở thích của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/indonesia-java/""}], ""articles"": []}","Một loại cà phê từ Indonesia mà bạn có thể thử là Indonesia Aceh - Sumatra Gayo từ JAHO COFFEE ROASTERS. Đây là loại cà phê rang vừa tối với hương vị sô cô la đậm, cùng với các nốt hương của việt quất, sinh tố chuối và trái cây nhiệt đới. Cà phê này được trồng ở vùng Aceh, Indonesia, với quy trình chế biến tự nhiên và độ cao trồng trọt cao, mang lại một trải nghiệm cà phê phong phú và mạnh mẽ.",
