id,intent,difficulty,language,question,retrieved_context_count,reference_context_count,bean_count,news_count,elapsed_s,context_precision,context_recall,faithfulness,answer_relevancy,response,reference,error
PS_001,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa với hương vị cam được không?,5,5,5,2,13.9,1,1,0.75,0.730447885,"{""summary"": ""Tôi xin giới thiệu loại cà phê Ethiopia Sidamo, được rang vừa với hương vị cam ngọt ngào. Cà phê này có hương vị marionberry, cam ngọt, chocolate nougat và siro vani, mang đến trải nghiệm thưởng thức phong phú và hấp dẫn."", ""products"": [{""name"": ""Ethiopia Sidamo"", ""roaster"": ""MCLAUGHLIN COFFEE COMPANY"", ""reason"": ""Có hương vị cam ngọt và các nốt hương trái cây khác, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/ethiopia-sidamo-14f/""}], ""articles"": []}","Bạn có thể thử loại cà phê Ethiopia Sidamo từ MCLAUGHLIN COFFEE COMPANY. Loại cà phê này được rang vừa và có hương vị của cam ngọt, bên cạnh các hương vị khác như Marionberry, Chocolate Nougat và Vanilla Maple Syrup. Cà phê được sản xuất từ vùng Sidamo, Ethiopia, với quy trình tự nhiên, mang lại cảm giác ngọt ngào và cơ thể siro.",
PS_002,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Brazil, rang vừa đến đậm, có hương vị đường nâu không?",5,5,5,2,12,1,1,0.6,0.519676192,"{""summary"": ""Tôi giới thiệu bạn sản phẩm \""Brazil - Cerrado Mineiro - Med-Dark\"" từ STEREOSCOPE COFFEE. Đây là loại cà phê từ Brazil, rang vừa đến đậm, với hương vị đường nâu, chocolate và một chút hương vị hạt nhục đậu khấu."", ""products"": [{""name"": ""Brazil - Cerrado Mineiro - Med-Dark"", ""roaster"": ""STEREOSCOPE COFFEE"", ""reason"": ""Loại cà phê này có hương vị đường nâu, chocolate, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/brazil-cerrado-mineiro-med-dark/""}], ""articles"": []}","Một loại cà phê từ Brazil mà bạn có thể tham khảo là Forest Blend từ Perky Blenders Coffee Roasters. Đây là loại cà phê rang vừa đến đậm, có hương vị đường nâu, sô cô la đen, và trái cherry. Cà phê được lấy từ vùng Sul de Minas và được chế biến theo phương pháp tự nhiên. Hạt cà phê này được sản xuất từ các trang trại nhỏ, đảm bảo chất lượng cao.",
PS_003,product_search,easy,en,Can you help me find a medium-dark roast coffee from Ethiopia with peach flavor notes?,5,5,5,2,23.4,1,1,1,0.956305896,"{""summary"": ""For a medium-dark roast coffee from Ethiopia with peach flavor notes, I recommend the Danche Espresso from FUGLEN JAPAN. It features tasting notes of grape and peach, processed as washed, and is tailored for espresso preparation. Another option is the Mewa Yusef Ethiopia Espresso from GLYPH SUPPLY CO, which also has peach notes along with orange and red tea flavors, but it is processed naturally."", ""products"": [{""name"": ""Danche Espresso / Ethiopia"", ""roaster"": ""FUGLEN JAPAN"", ""reason"": ""This coffee has peach flavor notes and is a medium-dark roast, making it a suitable choice."", ""url"": ""https://www.thewaytocoffee.com/beans/danche-espresso-ethiopia/""}, {""name"": ""Mewa Yusef Ethiopia Espresso"", ""roaster"": ""GLYPH SUPPLY CO"", ""reason"": ""This coffee features peach flavor notes and is also a medium-dark roast, providing an alternative option."", ""url"": ""https://www.thewaytocoffee.com/beans/mewa-yusef-ethiopia-espresso/""}], ""articles"": []}","The medium-dark roast coffee from Ethiopia that features peach flavor notes is the Danche Espresso / Ethiopia by FUGLEN JAPAN. It is sourced from the Danche Washing Station in Gedeb, Gedeo, and is produced by 763 smallholder farmers. This coffee offers flavor notes of grape and peach, and it is processed as washed.",
PS_004,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê đến từ Colombia, rang nhẹ với hương vị cam được không?",5,5,5,2,22.4,0.333333333,1,1,0.745841812,"{""summary"": ""Tôi xin giới thiệu loại cà phê Colombia Caldas Mandarin Washed, được rang nhẹ với hương vị cam. Cà phê này có hương vị của vỏ cam và được chế biến theo phương pháp Mandarin Washed, mang đến một tách cà phê sạch và thanh lịch."", ""products"": [{""name"": ""Colombia Caldas Mandarin Washed"", ""roaster"": ""JWC ROASTERY"", ""reason"": ""Cà phê này có hương vị vỏ cam rõ rệt, phù hợp với yêu cầu của bạn về hương vị cam."", ""url"": ""https://www.thewaytocoffee.com/beans/colombia-caldas-mandarin-washed/""}], ""articles"": []}","Một loại cà phê đến từ Colombia mà bạn có thể thử là Colombia Caldas Mandarin Washed của JWC ROASTERY. Cà phê này được rang nhẹ và có hương vị của vỏ cam và táo custard. Đây là loại cà phê đơn nguyên từ Caldas, được xử lý theo phương pháp 'Mandarin Washed', mang lại hương vị tươi sáng và chua nhẹ.",
PS_005,product_search,easy,vi,"Bạn có thể gợi ý cho tôi loại cà phê từ Mexico, rang vừa-nhẹ, với hương vị caramel hóa không?",5,5,5,2,15.3,0,0.669471374,1,0.641858267,"{""summary"": ""Tôi gợi ý bạn thử loại cà phê San Lucas từ KAFFEEMACHER. Đây là loại cà phê rang vừa-nhẹ với hương vị caramel hóa và táo nướng, xuất xứ từ San Lucas Zoquiapan, Oaxaca, Mexico. Bạn có thể tìm hiểu thêm qua đường link dưới đây."", ""products"": [{""name"": ""San Lucas"", ""roaster"": ""KAFFEEMACHER"", ""reason"": ""Cà phê này có hương vị caramel hóa và được rang vừa-nhẹ, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/san-lucas/""}], ""articles"": []}","Tôi gợi ý bạn loại cà phê ""Organic Mexico"" của CARRABASSETT COFFEE COMPANY. Đây là loại cà phê từ Mexico, được rang vừa với hương vị caramel hóa. Nó có độ axit hạn chế, cơ thể tốt và hương vị nhẹ nhàng, với những nốt hương sô cô la sữa và táo đỏ.",
PS_006,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Honduras, rang nhẹ, với hương vị trà đen không?",5,5,5,2,11.7,1,1,1,0.607464065,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê \""Honduras Belarmino Contreras [Light roast]\"" từ roaster KURASU. Đây là loại cà phê rang nhẹ với hương vị trà đen cùng với các nốt hương hoa, cam máu và lê."", ""products"": [{""name"": ""Honduras Belarmino Contreras [Light roast]"", ""roaster"": ""KURASU"", ""reason"": ""Có hương vị trà đen, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/honduras-belarmino-contreras-light-roast/""}], ""articles"": []}","Bạn có thể thử cà phê Honduras Belarmino Contreras do KURASU sản xuất. Đây là loại cà phê rang nhẹ với hương vị đặc trưng của trà đen, cùng với các nốt hương hoa, lê, cam máu và loquat. Cà phê được trồng ở vùng Santa Barbara tại độ cao 1.500 mét và thuộc giống Pacas, được xử lý hoàn toàn bằng phương pháp rửa.",
PS_007,product_search,easy,vi,Bạn có thể giới thiệu cho tôi loại cà phê Ethiopia rang vừa-nhẹ với hương vị mận được không?,5,5,5,2,13.6,1,1,0.714285714,0.701696479,"{""summary"": ""Tôi xin giới thiệu loại cà phê Ethiopia Rumudamo Washed từ DROPSHOT COFFEE ROASTERS. Đây là loại cà phê rang vừa-nhẹ với hương vị mận rõ rệt, cùng với các hương vị khác như elderflower và bergamot. Cà phê này được chế biến theo phương pháp washed, mang đến sự tinh khiết trong hương vị."", ""products"": [{""name"": ""Ethiopia Rumudamo Washed"", ""roaster"": ""DROPSHOT COFFEE ROASTERS"", ""reason"": ""Cà phê này có hương vị mận đặc trưng và được rang vừa-nhẹ, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/ethiopia-rumudamo-washed-1vk/""}], ""articles"": []}","Bạn có thể tham khảo loại cà phê Ethiopia Rumudamo Washed do DROPSHOT COFFEE ROASTERS sản xuất. Đây là loại cà phê rang vừa-nhẹ có hương vị mận, được chế biến theo phương pháp rửa và có nguồn gốc từ trạm rửa Rumudamo ở Sidama, Ethiopia. Cà phê này được trồng bởi những nông dân nhỏ lẻ ở độ cao từ 1.800 đến 2.000 mét.",
PS_008,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Guatemala, rang vừa, có hương vị chanh và trái cây không?",5,5,5,2,11.1,0,0,0.666666667,0.655967754,"{""summary"": ""Tôi giới thiệu cho bạn loại cà phê Guatemala Antigua Coffee từ roaster VOLCANICA COFFEE. Đây là loại cà phê rang vừa với hương vị chanh, trái cây và các nốt berry, green apple, jasmine."", ""products"": [{""name"": ""Guatemala Antigua Coffee"", ""roaster"": ""VOLCANICA COFFEE"", ""reason"": ""Có hương vị chanh và trái cây, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/guatemala-antigua-coffee/""}], ""articles"": []}","Bạn có thể thử loại cà phê ""Guatemala Isabel Ramirez"" từ FULCRUM COFFEE. Cà phê này có hương vị chanh và anh đào, với một cơ thể nước ép và độ ngọt, kết thúc bằng một hương vị kem. Đây là một lựa chọn phù hợp với yêu cầu của bạn về cà phê Guatemala rang vừa có hương vị trái cây.",
PS_009,product_search,easy,en,Do you have any light roast coffee from Kenya with flavor notes of brown sugar?,5,5,5,5,16.4,0.5,1,1,0.692407866,"{""summary"": ""Yes, the Gura AA, Kenya - Ljusrost from HAELLA KAFFEROSTERI features flavor notes of brown sugar along with pineapple, blackberry, mango, and red cherry. It is a light roast coffee sourced from Nyeri, Kenya, and processed at Gura Wet Mill."", ""products"": [{""name"": ""Gura AA, Kenya - Ljusrost"", ""roaster"": ""HAELLA KAFFEROSTERI"", ""reason"": ""This coffee has flavor notes of brown sugar, making it a suitable choice for your preference."", ""url"": ""https://www.thewaytocoffee.com/beans/gura-aa-kenya-light-roast/""}], ""articles"": []}","Yes, the Kenya Kamoini by INHERITANCE COFFEE ROASTERS is a light roast coffee from Kenya that features flavor notes of brown sugar, along with citrus fruits and clove. It is sourced from the Nyeri region and processed as a washed coffee. Additionally, Gura AA by HAELLA KAFFEROSTERI is another light roast that also includes brown sugar in its flavor profile, alongside pineapple and blackberry.",
PS_010,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Indonesia, rang vừa tối với hương vị sô cô la được không?",5,5,5,2,13.5,1,0.898926544,0.666666667,0.92839382,"{""summary"": ""Một loại cà phê từ Indonesia rang vừa tối với hương vị sô cô la mà tôi có thể giới thiệu là Indonesia Aceh - Sumatra Gayo. Cà phê này có hương vị sô cô la đen, cùng với các nốt hương của chuối sữa và trái cây nhiệt đới, mang đến trải nghiệm thú vị."", ""products"": [{""name"": ""Indonesia Aceh - Sumatra Gayo"", ""roaster"": ""JAHO COFFEE ROASTERS"", ""reason"": ""Cà phê này có hương vị sô cô la đen nổi bật, phù hợp với yêu cầu của bạn."", ""url"": ""https://www.thewaytocoffee.com/beans/indonesia-aceh-sumatra-gayo/""}], ""articles"": []}","Một loại cà phê từ Indonesia mà bạn có thể thử là Indonesia Aceh - Sumatra Gayo từ JAHO COFFEE ROASTERS. Đây là loại cà phê rang vừa tối với hương vị sô cô la đậm, cùng với các nốt hương của việt quất, sinh tố chuối và trái cây nhiệt đới. Cà phê này được trồng ở vùng Aceh, Indonesia, với quy trình chế biến tự nhiên và độ cao trồng trọt cao, mang lại một trải nghiệm cà phê phong phú và mạnh mẽ.",
