id,intent,difficulty,language,question,retrieved_context_count,bean_count,news_count,elapsed_s,context_precision,context_recall,response,reference,error
PS_001,product_search,easy,vi,"Bạn có thể giúp tôi tìm loại cà phê từ Costa Rica, rang vừa, với hương vị ngọt ngào của mật ong không?",12,10,2,30.8,0.32499999998375,0.0,,"Bạn có thể tham khảo loại cà phê Costa Rican Gladiola Specialty Coffee từ COFFEE BEANERY. Đây là loại cà phê rang vừa, có hương vị ngọt ngào của mật ong cùng với các hương vị hoa, trái cây chua, cacao và hạnh nhân nướng. Cà phê này được thu hoạch từ trang trại La-Minita ở khu vực Central Valley của Costa Rica. Ngoài ra, bạn cũng có thể thử Costa Rica Peaberry Coffee từ VOLCANICA COFFEE, loại cà phê này cũng có hương vị mật ong và được rang vừa.",
PS_002,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi loại cà phê từ Guatemala, rang vừa, có hương vị dâu tây không?",12,10,2,20.8,0.0,0.0,,"Bạn có thể tham khảo loại cà phê Ixlama từ STEEL OAK COFFEE, có nguồn gốc từ Huehuetenango, Guatemala, với mức rang vừa và hương vị dâu tây. Một lựa chọn khác là Eterna Primavera từ SGT. MARTINHO, cũng đến từ Huehuetenango, có hương vị dâu tây cùng với caramel và táo. Cả hai loại này đều được chế biến theo phương pháp rửa và có độ cao trồng từ 1,520 đến 1,900 mét.",
PS_003,product_search,easy,en,Can you help me find a light roast coffee from Colombia that has floral flavor notes?,12,10,2,25.3,0.0,0.6666666666666666,,"You can try the ""El Espejo II Gesha"" from PRODIGAL COFFEE, which is a light roast coffee from Colombia with floral flavor notes, along with apple and plum. Another excellent option is ""La Victoria"" by SQUARE MILE COFFEE ROASTERS, also a light roast with floral notes, complemented by peach and bergamot. Both coffees originate from the Tolima region and highlight the delicate characteristics of Colombian coffee.",
PS_004,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Mexico, độ rang vừa, với hương vị vani không?",12,10,2,21.2,0.49999999995,1.0,,"Bạn có thể thử loại cà phê Mexico Mazateca từ VIGILANTE COFFEE. Đây là loại cà phê rang vừa với hương vị vani cùng với các nốt hương khác như molasses, anise, táo và nougat. Nó được trồng ở Sierra Mazateca, Oaxaca, Mexico, ở độ cao từ 1700 đến 1900 mét.",
PS_005,product_search,easy,en,Can you help me find a Medium-Dark roast coffee from Ethiopia with peach flavor notes?,12,10,2,20.2,0.62499999996875,1.0,,"You can find a Medium-Dark roast coffee from Ethiopia with peach flavor notes in two options: 

1. **Mewa Yusef Ethiopia Espresso by GLYPH SUPPLY CO.** - This coffee features flavor notes of peach, orange, and red tea, and is grown at high altitudes in Nensebo, Ethiopia.

2. **Genji Challa by BIRCHBACH COFFEE** - Another Medium-Dark roast, this coffee has vibrant peach notes and is sourced from the Jimma region of Ethiopia, specifically from the Genji Challa cooperative. 

Both options highlight the desired peach flavor.",
PS_006,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Colombia, rang nhẹ, với hương vị cam không?",12,10,2,20.9,0.0,0.25,,"Bạn có thể thử loại cà phê ""Colombia - Finca Quebraditas - Orange Bourbon"" từ LITTLE BUFFALO COFFEE CO.. Đây là loại cà phê rang nhẹ có hương vị cam, bao gồm các nốt hương như Orange Starburst và Aperol Spritz. Cà phê được sản xuất từ giống Orange Bourbon tại Finca Quebraditas ở Oporapa, Huila, Colombia, với độ cao 1700 mét. Phương pháp chế biến là washed kết hợp với kỹ thuật nhiệt độ, tạo ra hương vị tươi mới và hấp dẫn.",
PS_007,product_search,easy,vi,"Bạn có thể cho tôi biết về loại cà phê từ Mexico, xay vừa sáng, có hương vị caramel không?",12,10,2,24.4,0.0,0.0,,"Bạn có thể tham khảo loại cà phê ""Frailesca"" từ DISPATCH COFFEE, có xuất xứ từ Chiapas, Mexico. Cà phê này được rang vừa sáng với hương vị caramel, cùng với các nốt hương thuốc lá và mận. Nó được sản xuất từ 50 phụ nữ trong hợp tác xã Triunfo Verde và có chứng nhận hữu cơ và thương mại công bằng. Một lựa chọn khác là ""San Lucas"" từ KAFFEEMACHER, cũng có xuất xứ từ Oaxaca, Mexico, với hương vị caramel và táo nướng.",
PS_008,product_search,easy,en,Can you help me find a light roast coffee from Honduras that has black tea flavor notes?,12,10,2,19.6,0.33333333331666665,0.5,,"You can find a light roast coffee from Honduras with black tea flavor notes in the Honduras Belarmino Contreras by KURASU. This coffee features floral, black tea, pear, blood orange, and loquat notes, and is grown at Finca Genesis in the Santa Barbara region. Another option is the Finca La Salsa Washed Geisha by PHIL & SEBASTIAN COFFEE ROASTERS, which also has black tea among its flavor notes, along with dark chocolate and tangerine. Both coffees are fully washed processed and are made from Arabica beans.",
PS_009,product_search,easy,vi,"Bạn có thể gợi ý cho tôi một loại cà phê từ Ethiopia, rang vừa nhẹ, với hương vị mận không?",12,10,2,21.2,0.0,0.0,,"Tôi gợi ý bạn thử loại cà phê ""Etiopía Ayele Adola"" của ANIMAL COFFEE. Đây là một loại cà phê rang vừa nhẹ từ vùng Guji, Ethiopia, với hương vị đặc trưng của mận cùng các nốt trái cây và hoa. Cà phê được chế biến theo phương pháp tự nhiên, mang đến hương vị phong phú và độc đáo.",
PS_010,product_search,easy,en,Can you help me find a medium roast coffee from Guatemala that has citrus fruit flavor notes?,12,10,2,20.1,0.6666666666333333,0.6666666666666666,,"You can consider the ""Welcome Home Roast - Quinlan Homes Collaborative"" by OCTAVE COFFEE, which is a medium roast coffee from Huehuetenango, Guatemala, featuring flavor notes of chocolate and citrus fruit. Another option is ""Cà phê Espresso Guatemala Huetenango"" by FLUSSO, also a medium roast with prominent citrus fruit notes, along with honey and orange peel. Lastly, ""Guatemala La Soledad Geisha Washed"" by UNTOLD COFFEE LAB is a medium roast that includes citrus fruit flavors, alongside black tea and mango notes.",
PS_011,product_search,easy,en,Can you help me find a light roast coffee from Kenya that has brown sugar flavor notes?,12,10,2,25.7,0.0,1.0,,"Bạn có thể tham khảo các loại cà phê rang nhẹ từ Kenya có hương vị đường nâu như sau: 

1. **Gura AA, Kenya - Ljusrost** của HAELLA KAFFEROSTERI. Cà phê này có hương vị đường nâu, thơm ngon cùng với các nốt hương như dứa, quả mâm xôi, xoài và anh đào đỏ. 

2. **Kenya Kathendu Washed** của BIRD AND BEAR COFFEE. Loại cà phê này cũng có hương vị đường nâu, đi kèm với quả mâm xôi, đinh hương, anh đào và việt quất. 

Cả hai đều là lựa chọn tuyệt vời cho những ai tìm kiếm cà phê rang nhẹ từ Kenya với hương vị đường nâu.",
PS_012,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi loại cà phê từ Indonesia, rang vừa đậm, có hương vị sô cô la không?",12,10,2,20.4,0.0,0.0,,"Bạn có thể thử loại cà phê BIO Indonesien Permata Gayo Ernte 2025 của LOPPO KAFFEE. Đây là loại cà phê rang vừa đậm có hương vị sô cô la, cùng với những nốt hương đào, caramel và thảo mộc tươi. Cà phê được trồng tại Bener Meriah, Aceh, Indonesia, ở độ cao từ 1200-1600 mét và được chế biến theo phương pháp ướt. 

Ngoài ra, bạn cũng có thể tham khảo cà phê Indonesia - Sumatra Mandheling G1 Organic của BEAN BROTHERS, có hương vị sô cô la, gia vị và thuốc lá ngọt, cũng được rang vừa đậm và chế biến theo phương pháp giling basah.",
PS_013,product_search,easy,vi,"Bạn có thể giới thiệu cho tôi một loại cà phê từ Ethiopia, rang vừa nhẹ với hương vị raspberry không?",12,10,2,21.8,0.0909090909,0.0,,"Bạn có thể thử loại cà phê ""Rested"" Landrace - Washed - Tagel Alemayehu từ HYDRANGEA COFFEE ROASTERS. Đây là loại cà phê rang vừa nhẹ, có hương vị raspberry, tangerine và hoa vàng, được chế biến theo phương pháp washed từ vùng Hambela, Ethiopia. Bên cạnh đó, ""Fruit Punch: Ethiopia Sidama Natural"" từ PIRATES OF COFFEE cũng là một lựa chọn tốt với hương vị raspberry, strawberry và hibiscus, được sản xuất tại vùng Sidama. Cả hai đều mang lại trải nghiệm hương vị phong phú từ Ethiopia.",
